Date,Rank,Gross,Adj. Gross,G_Change,Theaters,T_Change,Avg,Cum_gross,Tickets,Week
Apr 26-28,1,357115000,312723400,,4662,,67100,312723400,39635400,1
May 3-5,1,147383200,129062500,-0.59,4662,0,27700,544049100,16357700,2
May 10-12,1,63299900,55431300,-0.57,4662,0,11900,633779500,7025500,3
May 17-19,2,29973500,26247600,-0.53,4220,-442,6200,675482400,3326700,4
May 24-26,3,17200700,15062600,-0.43,3810,-410,4000,699269800,1909100,5
May 31-Jun 2,6,8037500,7038400,-0.53,3105,-705,2300,714326300,892100,6
Jun 7-9,8,4871000,4265500,-0.39,2121,-984,2000,721954200,540600,7
Jun 14-16,10,3725900,3262700,-0.24,1450,-671,2300,727438900,413500,8
Jun 21-23,13,1987800,1740700,-0.47,985,-465,1800,730851200,220600,9
Jun 28-30,7,6108700,5349400,2.07,2025,1040,2600,737237700,678000,10
Jul 5-7,9,3118300,2730700,-0.49,1985,-40,1400,742484200,346100,11
Jul 12-14,11,2104300,1842700,-0.33,1443,-542,1300,745751600,233500,12
Jul 19-21,11,1514700,1326400,-0.28,985,-458,1300,748308200,168100,13
Jul 26-28,11,952600,834200,-0.37,580,-405,1400,750098500,105700,14
Aug 2-4,14,383200,335500,-0.6,420,-160,800,750889400,42500,15
Aug 9-11,19,209992,183900,-0.45,237,-183,800,751283700,23300,16
Aug 16-18,29,100749,88200,-0.52,148,-89,681,858142395,11200,17
Aug 23-25,38,50268,44000,-0.5,115,-33,437,858238683,5600,18
Aug 30-Sep 1,40,70775,62000,0.41,110,-5,600,751634000,7900,19
Sep 6-8,61,12680,11100,-0.82,55,-55,231,858366365,1400,20